,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,labels
0,Bollywood_Rap/Bohemia - Dada.opus,1.3595045,0.50437766,0.43108806,0.2382468091896277,12.234897,0.15576644,3336.742280939848,3691.313529024142,19.32648845000972,7111.706784945961,-0.0292291628236838,0.0636146708369615,0
1,Bollywood_Rap/Bohemia - Beparwah.opus,1.3678457,0.48188737,0.52746695,0.2559200354784007,5.386636,1.1731652,3813.4659507898514,3903.0361681455593,20.049207382983443,8436.634644221798,0.0273188044649089,0.0800228036694139,0
2,Bollywood_Rap/Bohemia - Desi Put Javaan.opus,1.5226578,0.61466676,0.4158787,0.2410316576068227,22.373873,4.6584263,2062.6715424499725,3053.880090675076,18.504100287241968,4707.484603921287,-0.016367562265286,0.0249096845674135,0
3,Bollywood_Rap/Bohemia - Dil Acapella.opus,1.4284666,0.59377927,0.5244803,0.2638055654120086,17.920794,4.7537785,2267.2298490522658,3129.322549665094,20.090888171946048,5376.694051933445,0.0177130241313357,0.0410499007502588,0
4,Bollywood_Rap/Bohemia - Aja Ni Aja.opus,1.541603,0.6592657,0.5806532,0.2602367475774224,22.39374,6.8872643,4515.528428311407,4360.305689372235,17.931442440686418,9524.892740876694,0.0057484062902444,0.0785420577591635,0
5,Bollywood_Rap/Badshah - Tere Naal Nachna.opus,1.7079748,0.48340672,0.52131516,0.2524352865302035,24.161234,2.0093482,2811.233921702204,3323.766828443598,19.643881526115518,6092.795269015186,-0.0026077358739634,0.0498207906292772,0
6,Bollywood_Rap/Bohemia - Desi Munde.opus,1.5896256,0.5008919,0.42803884,0.2313558839722267,13.53346,3.0382519,3645.12092391864,3581.8378542386868,19.333898708619124,7549.2637440008,-0.0102947609162857,0.0859734978044594,0
7,Bollywood_Rap/Badshah - Proper Patola.opus,1.5397309,0.42435834,0.4845275,0.2519242682458684,12.516366,-1.1187081,3266.759225253132,3631.822176453345,20.228720032898345,7352.776528034606,-0.0144476501924742,0.0645493172446671,0
8,Bollywood_Rap/Bohemia - Charso Bees (420).opus,1.4342363,0.5151579,0.4204167,0.24454656309883,14.533942,4.4680386,3149.0000776939314,3246.48272272596,19.93021750917261,6532.241454753953,-0.0279878644514799,0.0711738734697521,0
9,Bollywood_Rap/Bohemia - Cadillac.opus,1.5072868,0.50062627,0.46031794,0.2458365638818512,15.908803,2.4232953,3272.283931305966,3852.269051021055,19.394260418660732,7212.575861576306,0.0098176301668368,0.0633694817885628,0
10,Bollywood_Rap/Amaal Mallik - Zero Hour Mashup 2015(Remix By Dj Kiran Kamath).opus,1.291514,0.42302513,0.47393414,0.2414355190760272,18.942785,4.455192,2809.8143368613573,3758.1213012805583,20.27017406291006,6420.989272957768,0.0148143370551372,0.0426069624565088,0
11,Bollywood_Rap/Bohemia - Bijlee.opus,1.3965677,0.5758258,0.45306426,0.2336689547377153,2.7336223,-0.8363734,2269.719753059277,2685.9418990489285,18.803335016034367,5009.08316601162,0.0010748606549106,0.0433886785500683,0
12,Bollywood_Rap/Aditi Singh Sharma - High Rated Gabru (Female Version).opus,1.5240669,0.39865965,0.49840155,0.2485770787527244,7.0433164,-1.8640248,2527.2975264842185,2808.371467644052,21.0748949816392,5212.723214285715,0.0151653978107935,0.0533349397997835,0
13,Bollywood_Rap/Bohemia - Bumpin My Song.opus,1.6695336,0.5980901,0.48903495,0.2508433943098382,11.24872,4.8534074,2877.369446468005,3269.292131423848,19.23731467676044,6266.2047531036405,-0.0025317598616569,0.0485380441179034,0
14,Bollywood_Rap/Big Dhillon - Stand Up - Spoken Word.opus,1.6061233,0.527499,0.4553055,0.2449560595086038,8.752941,3.1042178,4046.637184476663,4030.4251688453783,19.00282616277909,8276.408037629602,0.0252067241205799,0.0820597927187611,0
15,Bollywood_Rap/Anirudh Ravichander - Pori Pathi Vizhum.opus,1.4001393,0.40929562,0.49060416,0.2497158321928714,7.882786,0.61088574,3579.772706104227,3962.044350057942,20.04342314531969,8017.172945541776,0.0101623134482483,0.0658435799057292,0
16,Bollywood_Rap/Badshah - She Move It Like.opus,1.5742964,0.4830055,0.36407387,0.2229802767215926,14.918789,0.97715497,2833.2709127847397,3137.369056267115,21.13655111924228,6195.506219412724,0.0514018765863968,0.0547407091150081,0
17,Bollywood_Rap/Bohemia - Guess Whos Back Album Introduction.opus,1.2364383,0.39906943,0.4994863,0.227638375428122,7.009584,-2.7462728,3001.926130967624,2942.5249646168586,18.143911759701822,6064.612481400347,0.008209745044536,0.0753122061513185,0
18,Bollywood_Rap/Bohemia - Koi Ni.opus,1.5619313,0.5585703,0.44430915,0.2404684026012164,20.269026,3.0809774,4156.031341100768,3943.909435069777,18.943809708340225,8597.091602488152,0.0082934698540329,0.0939482437302527,0
19,Bollywood_Rap/Bohemia - Diwana.opus,1.4426938,0.5808779,0.45864972,0.2335009392586132,8.647912,3.4579039,2477.161111933324,2860.29645491045,20.09692127706153,5665.771536352992,-0.0019613191950093,0.0473736595222571,0
20,Bollywood_Rap/Bohemia - Eitbaar (Trust Me).opus,1.5816467,0.6398912,0.40715805,0.2312709316252742,20.911772,6.0729346,2662.364433911993,3359.35942549057,19.440316187420706,5912.427979418289,0.0272377373069734,0.04082688389666,0
21,Bollywood_Rap/Bohemia - Ek Tera Pyar.opus,1.4463639,0.5284187,0.4753091,0.2607945497022519,9.6394,4.480662,2509.263575988778,2535.7453858227227,20.170309319441103,5106.149655963302,-0.015524275061344,0.0601566606340787,0
22,Bollywood_Rap/Bohemia - Faqeer.opus,1.4512899,0.595193,0.32652277,0.2122029783888418,19.01008,5.744212,1672.8404663710587,2326.30003569543,19.29566915757877,3516.816939311748,-0.0158492077515075,0.0267656318426145,0
23,Bollywood_Rap/Bohemia - Gunagaar (Sinner).opus,1.5485923,0.509629,0.45346856,0.2499359539258732,14.664759,3.0392754,3131.054915800615,3170.531109922742,19.209378512517223,6342.527433206107,-0.0232030645764015,0.0641561965586894,0
24,Bollywood_Rap/Bohemia - Photo.opus,1.6208299,0.49731582,0.35836497,0.2137510564609964,22.88997,3.9971848,2613.4742985920875,3378.274866192706,19.31506758744227,5712.803470393566,-0.0010346445193718,0.0362365257866433,0
25,Bollywood_Rap/Bohemia - Lela.opus,1.5502084,0.57241195,0.45230073,0.2363952711777296,20.490175,5.396366,3486.7030783780583,3945.976125421996,19.24968416834024,7923.777629851182,0.0020790406436484,0.0636949853643857,0
26,Bollywood_Rap/Bohemia - Sahara Lab De.opus,1.3825791,0.49559814,0.47963846,0.2515363573814761,16.358868,5.187703,2269.17051815043,2773.116137936298,20.0199888239855,4631.633413623501,-0.0200744201120407,0.0430019995339801,0
27,Bollywood_Rap/Bohemia - Meri Jeet.opus,1.4101574,0.43501997,0.3761967,0.2168562468973446,12.961423,2.302718,3035.120288794309,3740.837122769483,19.724801966953333,6530.79709186696,-0.0269271448110441,0.054922425432147,0
28,Bollywood_Rap/Bohemia - Punjabi Rap Star (Extended Mix).opus,1.5724983,0.5920059,0.46386808,0.2459005930634609,18.608894,4.581873,2210.978976229116,2973.387771222953,20.61689930113258,4761.600228749109,-0.0300103099490751,0.0387713415615345,0
29,Bollywood_Rap/Bohemia - Lak Da Hulara.opus,1.6065468,0.5310983,0.47530255,0.2525832628706774,20.88424,4.1221952,2646.0611157623266,3413.692145908772,18.30006603789672,5524.974056401918,-0.0061263088206728,0.0410260447870306,0
30,Bollywood_Rap/Bohemia - Na Suno.opus,1.35472,0.6091199,0.37312412,0.2167348132029114,8.382829,1.5812072,2500.902780577492,3308.5516924145986,19.132942188473876,5651.499276049241,0.0445812783821539,0.0343798746964601,0
31,Bollywood_Rap/Bohemia - Ishq.opus,1.6428294,0.60901034,0.49638972,0.2545160163055335,17.053934,6.625934,2336.0069872793733,2951.695849043442,19.159527369494803,5055.600930156658,-0.0021288726601841,0.0370611333224543,0
32,Bollywood_Rap/Bohemia - Punjabi Rap Star.opus,1.5957348,0.5967503,0.48115304,0.2518345984077124,17.49355,5.365533,2109.2616029461783,2855.5026433309995,20.028060275441767,4669.033555782788,-0.0266238549711367,0.0356913070222942,0
33,Bollywood_Rap/Bohemia - Dil.opus,1.4284666,0.59377927,0.5244803,0.2638055654120086,17.920794,4.7537785,2267.2298490522658,3129.322549665094,20.090888171946048,5376.694051933445,0.0177130241313357,0.0410499007502588,0
34,Bollywood_Rap/Bohemia - Ek Tera Pyar (Love Groove Mix).opus,1.4111813,0.49713978,0.39621195,0.2346391831716321,11.523115,1.6930192,2770.4252159837506,2768.4058181083738,20.151891968245547,5240.014766832074,-0.0234114623271925,0.068165630080871,0
35,Bollywood_Rap/Bohemia - Nazere Mili.opus,1.2501038,0.5681324,0.3696436,0.205204265901287,22.679995,5.043754,1817.9639531077544,2567.3036131324875,18.852855315444007,3882.7674180327863,0.0179604386985922,0.0259304345969945,0
36,Bollywood_Rap/Bohemia - Tittli.opus,1.3829417,0.48419964,0.40220714,0.2283817205704059,8.326697,-1.3676769,3077.1623544146787,3335.3877808676707,19.82901356628793,6939.095970480669,-0.0491474782210006,0.0621768035056019,0
37,Bollywood_Rap/Bohemia - Gol Gol.opus,1.5423313,0.56425476,0.47009242,0.2400764074019517,21.693918,3.450044,2739.4247330626245,3530.4937472300803,18.84950351601853,6115.367693069823,0.0160868370821249,0.0382374862302497,0
38,Bollywood_Rap/Emiway Bantai - Emiway-Samajh Mein Aaya Kya.opus,1.6613511,0.38055724,0.4606277,0.2354702968596449,2.2998645,-4.034527,3994.615504562588,4335.899143603215,20.71671402234288,8744.654279640245,0.0313044681932657,0.0686611121160626,0
39,Bollywood_Rap/DIVINE - Jungli Sher.opus,1.4747748,0.55519223,0.4784727,0.2529200592829004,13.221714,4.0792756,3142.249038395461,3749.744807333948,18.838175514103227,6848.9589884284005,0.005705718827277,0.0582303257755015,0
40,Bollywood_Rap/Garry Sandhu - Din Gaye - Acoustic Version.opus,1.2139928,0.3949852,0.43475613,0.2370995407236062,9.406722,3.6770253,2792.885282410796,3728.4805651718007,20.51397818075152,6229.533790166037,-0.0363425787881997,0.0436379808442233,0
